serie,country,value,year
People using safely managed drinking water services (% of population),Afghanistan,26.5813145377719,2018
People using safely managed drinking water services (% of population),Albania,70.65335162337,2018
People using safely managed drinking water services (% of population),Algeria,75.036130399841,2018
People using safely managed drinking water services (% of population),American Samoa,89.8545469094066,2018
People using safely managed drinking water services (% of population),Andorra,90.6399959806121,2018
People using safely managed drinking water services (% of population),Armenia,82.9598380412522,2018
People using safely managed drinking water services (% of population),Austria,98.9044748151298,2018
People using safely managed drinking water services (% of population),Azerbaijan,69.6032658882812,2018
People using safely managed drinking water services (% of population),Bahrain,98.9078127858863,2018
People using safely managed drinking water services (% of population),Bangladesh,57.7207449544889,2018
People using safely managed drinking water services (% of population),Belarus,92.766544664735,2018
People using safely managed drinking water services (% of population),Belgium,99.7061859928,2018
People using safely managed drinking water services (% of population),Bhutan,60.8267760838514,2018
People using safely managed drinking water services (% of population),Bosnia and Herzegovina,88.850693498337,2018
People using safely managed drinking water services (% of population),Brazil,84.4000388230692,2018
People using safely managed drinking water services (% of population),Bulgaria,96.2828131057567,2018
People using safely managed drinking water services (% of population),Cambodia,26.6933832941225,2018
People using safely managed drinking water services (% of population),Canada,98.9836260855053,2018
People using safely managed drinking water services (% of population),Central African Republic,6.38520696907848,2018
People using safely managed drinking water services (% of population),Chad,6.07143584248856,2018
People using safely managed drinking water services (% of population),Chile,98.7713670184763,2018
People using safely managed drinking water services (% of population),Colombia,73.1264378879352,2018
People using safely managed drinking water services (% of population),Democratic Republic of the Congo,11.4043739382468,2018
People using safely managed drinking water services (% of population),Congo.,45.5356397165062,2018
People using safely managed drinking water services (% of population),Costa Rica,80.525590360828,2018
People using safely managed drinking water services (% of population),Côte d'Ivoire,40.3810137249807,2018
People using safely managed drinking water services (% of population),Croatia,,2018
People using safely managed drinking water services (% of population),Cyprus,99.741113800891,2018
People using safely managed drinking water services (% of population),Czechia,97.8816619040419,2018
People using safely managed drinking water services (% of population),Denmark,99.9188311329772,2018
People using safely managed drinking water services (% of population),Dominican Republic,44.5939613974756,2018
People using safely managed drinking water services (% of population),Ecuador,66.3946984801382,2018
People using safely managed drinking water services (% of population),Estonia,96.9427504837686,2018
People using safely managed drinking water services (% of population),Ethiopia,11.2910758539614,2018
People using safely managed drinking water services (% of population),Fiji,41.3539489881601,2018
People using safely managed drinking water services (% of population),Finland,99.6345478282001,2018
People using safely managed drinking water services (% of population),France,99.2425569011291,2018
People using safely managed drinking water services (% of population),Gambia,45.2810635854788,2018
People using safely managed drinking water services (% of population),Georgia,68.1138148874751,2018
People using safely managed drinking water services (% of population),Germany,99.9061155783909,2018
People using safely managed drinking water services (% of population),Ghana,38.6210681678007,2018
People using safely managed drinking water services (% of population),Gibraltar,100.0,2018
People using safely managed drinking water services (% of population),Greece,99.0320361272461,2018
People using safely managed drinking water services (% of population),Grenada,,2018
People using safely managed drinking water services (% of population),Guam,99.059791733307,2018
People using safely managed drinking water services (% of population),Guatemala,55.2457121794635,2018
People using safely managed drinking water services (% of population),Guinea-Bissau,22.9856159322566,2018
People using safely managed drinking water services (% of population),Honduras,63.5024966259911,2018
People using safely managed drinking water services (% of population),"China, Hong Kong SAR",100.0,2018
People using safely managed drinking water services (% of population),Hungary,96.1433838528522,2018
People using safely managed drinking water services (% of population),Iceland,99.7891571990953,2018
People using safely managed drinking water services (% of population),Indonesia,29.1515575689813,2018
People using safely managed drinking water services (% of population),Iran (Islamic Republic of),93.6697139681182,2018
People using safely managed drinking water services (% of population),Iraq,58.8765721620356,2018
People using safely managed drinking water services (% of population),Ireland,95.5500823112871,2018
People using safely managed drinking water services (% of population),Isle of Man,98.3519816834383,2018
People using safely managed drinking water services (% of population),Israel,99.5287233319724,2018
People using safely managed drinking water services (% of population),Italy,93.4809564006846,2018
People using safely managed drinking water services (% of population),Japan,98.5164504631983,2018
People using safely managed drinking water services (% of population),Jordan,81.3508129682009,2018
People using safely managed drinking water services (% of population),Kazakhstan,89.3098182316854,2018
People using safely managed drinking water services (% of population),Kiribati,13.5331984883682,2018
People using safely managed drinking water services (% of population),Democratic People's Republic of Korea,66.4660283082871,2018
People using safely managed drinking water services (% of population),Republic of Korea,98.9107134048309,2018
People using safely managed drinking water services (% of population),Kuwait,100.0,2018
People using safely managed drinking water services (% of population),Kyrgyzstan,72.3086160926815,2018
People using safely managed drinking water services (% of population),Lao People's Democratic Republic,17.1601689389509,2018
People using safely managed drinking water services (% of population),Latvia,95.9692852409253,2018
People using safely managed drinking water services (% of population),Lebanon,47.5631163952381,2018
People using safely managed drinking water services (% of population),Lesotho,25.6507852521301,2018
