country,granularity,year,population
Afghanistan,Total,2019,37856.121
Afghanistan,Male,2019,19119.647
Afghanistan,Female,2019,18736.474
Afghanistan,Rural,2019,27626.382
Afghanistan,Urban,2019,9582.625
Afghanistan,Total,2020,39068.979
Afghanistan,Male,2020,19725.45
Afghanistan,Female,2020,19343.528
Afghanistan,Rural,2020,28150.604
Afghanistan,Urban,2020,9904.337
Afghanistan,Total,2021,40000.412
Afghanistan,Male,2021,20186.456
Afghanistan,Female,2021,19813.956
Afghanistan,Rural,2021,28674.023
Afghanistan,Urban,2021,10239.684
Afghanistan,Total,2022,40578.842
Afghanistan,Male,2022,20475.675
Afghanistan,Female,2022,20103.167
Afghanistan,Rural,2022,29191.512
Afghanistan,Urban,2022,10587.583
Afghanistan,Total,2023,41454.761
Afghanistan,Male,2023,20924.078
Afghanistan,Female,2023,20530.683
Afghanistan,Rural,2023,29701.149
Afghanistan,Urban,2023,10948.055
Albania,Total,2019,2885.01
Albania,Male,2019,1428.169
Albania,Female,2019,1456.841
Albania,Rural,2019,1139.266
Albania,Urban,2019,1799.162
Albania,Total,2020,2871.954
Albania,Male,2020,1421.407
Albania,Female,2020,1450.547
Albania,Rural,2020,1114.672
Albania,Urban,2020,1827.362
Albania,Total,2021,2849.635
Albania,Male,2021,1409.655
Albania,Female,2021,1439.981
Albania,Rural,2021,1090.487
Albania,Urban,2021,1854.317
Albania,Total,2022,2827.608
Albania,Male,2022,1398.267
Albania,Female,2022,1429.341
Albania,Rural,2022,1066.667
Albania,Urban,2022,1879.873
Albania,Total,2023,2811.655
Albania,Male,2023,1390.104
Albania,Female,2023,1421.551
Albania,Rural,2023,1043.276
Albania,Urban,2023,1904.065
Algeria,Total,2019,43294.546
Algeria,Male,2019,22118.792
Algeria,Female,2019,21175.753
Algeria,Rural,2019,11442.587
Algeria,Urban,2019,31236.431
Algeria,Total,2020,44042.091
Algeria,Male,2020,22490.324
Algeria,Female,2020,21551.767
Algeria,Rural,2020,11382.345
Algeria,Urban,2020,31950.91
Algeria,Total,2021,44761.099
Algeria,Male,2021,22848.428
Algeria,Female,2021,21912.671
Algeria,Rural,2021,11317.455
Algeria,Urban,2021,32651.848
Algeria,Total,2022,45477.389
Algeria,Male,2022,23206.875
Algeria,Female,2022,22270.515
Algeria,Rural,2022,11247.753
Algeria,Urban,2022,33336.714
Algeria,Total,2023,46164.219
Algeria,Male,2023,23549.234
Algeria,Female,2023,22614.984
Algeria,Rural,2023,11173.795
Algeria,Urban,2023,34005.054
American Samoa,Total,2019,50.209
American Samoa,Male,2019,25.422
American Samoa,Female,2019,24.788
American Samoa,Rural,2019,7.162
American Samoa,Urban,2019,48.565
American Samoa,Total,2020,49.761
American Samoa,Male,2020,25.17
American Samoa,Female,2020,24.591
American Samoa,Rural,2020,7.169
American Samoa,Urban,2020,48.63
American Samoa,Total,2021,49.225
American Samoa,Male,2021,24.888
American Samoa,Female,2021,24.337
American Samoa,Rural,2021,7.172
American Samoa,Urban,2021,48.727
American Samoa,Total,2022,48.342
American Samoa,Male,2022,24.43
American Samoa,Female,2022,23.912
American Samoa,Rural,2022,7.172
American Samoa,Urban,2022,48.843
American Samoa,Total,2023,47.521
American Samoa,Male,2023,24.002
American Samoa,Female,2023,23.52
American Samoa,Rural,2023,7.165
American Samoa,Urban,2023,48.967
Andorra,Total,2019,76.474
Andorra,Male,2019,38.914
Andorra,Female,2019,37.559
Andorra,Rural,2019,9.261
Andorra,Urban,2019,67.811
Andorra,Total,2020,77.38
Andorra,Male,2020,39.386
Andorra,Female,2020,37.994
Andorra,Rural,2020,9.327
Andorra,Urban,2020,67.857
Andorra,Total,2021,78.364
Andorra,Male,2021,40.011
Andorra,Female,2021,38.353
Andorra,Rural,2021,9.383
Andorra,Urban,2021,67.893
Andorra,Total,2022,79.705
Andorra,Male,2022,40.793
Andorra,Female,2022,38.912
Andorra,Rural,2022,9.434
Andorra,Urban,2022,67.958
Andorra,Total,2023,80.856
Andorra,Male,2023,41.354
Andorra,Female,2023,39.502
Andorra,Rural,2023,9.478
Andorra,Urban,2023,68.043
Angola,Total,2019,32375.632
Angola,Male,2019,16004.756
Angola,Female,2019,16370.877
Angola,Rural,2019,10751.626
Angola,Urban,2019,21035.94
Angola,Total,2020,33451.132
Angola,Male,2020,16539.639
Angola,Female,2020,16911.494
Angola,Rural,2020,10890.448
