pays;code_iso3;population_totale;population_urbaine;proportion_urbaine;croissance_annuelle_population;contig;dist;political_stability;regulatory_quality;produit_interieur_brut_usd;croissance_annuelle_pib;pib_par_habitant;variation_log_taux_change;flag_euro;prod_poulet_t;import_poulet_t;prix_import_poulet_usd_total;prix_production_poulet_usd_tonne;prix_import_poulet_usd_tonne;dispo_int_volaille;import_poulet_t_hab;dispo_int_volaille_hab;prod_poulet_t_hab
Afghanistan;AFG;39791823.0;10252456.8;25.75;2.44;0.0;5590,381;1.42;9.43;17188343176.4;2.28;431.96;-0.48121585511515796;0.0;28796.08;4811.26;7337000.0;;1524.9643544518483;36000.0;0.00012091077103956761;0.0009047084874699005;0.0007236682772739515
Afrique du Sud;ZAF;61448732.6;40271816.6;65.53;1.52;0.0;9353,552;20.85;44.34;388531011050.4;1.39;6322.85;5.42803503128327;0.0;1860000.0;312852.14;180916000.0;1914.6;578.2795668266805;2370000.0;0.005091270832817795;0.03856873689206081;0.03026913528237684
Albanie;ALB;2849172.4;1852955.8;65.05;-0.58;0.0;1603,534;51.66;58.49;20332604736.6;11.95;7136.32;-2.468435572460296;0.0;16780.0;47933.76;74795000.0;5759.2;1560.3824945090892;64000.0;0.016823748538347488;0.022462663193002993;0.0058894295059154726
Algérie;DZA;44747868.8;32636191.4;72.92;1.67;0.0;1340,39;23.22;16.04;219260309424.0;9.77;4899.91;2.325683651395375;0.0;421271.41;28.06;52000.0;2413.5;1853.1717747683535;275000.0;6.270689700422112e-07;0.0061455440756096975;0.009414334610724523
Allemagne;DEU;83903887.0;64018680.0;76.3;0.28;1.0;439,8984;66.35;91.98;4332091145345.2;3.57;51631.59;1.4526710797207993;1.0;1086000.0;492941.64;1562432000.0;1844.1;3169.608475356231;1462000.0;0.005875075132097277;0.01742469928717367;0.012943381276245282
Angola;AGO;34548825.6;22892151.4;66.22;3.26;0.0;6510,322;32.23;22.64;83889075814.6;7.16;2428.13;20.591620725481146;0.0;60236.37;209561.94;234446000.0;;1118.7432221709726;374000.0;0.006065674776511072;0.010825259426473818;0.0017435142571097988
Antigua-et-Barbuda;ATG;92343.0;25892.2;28.04;0.52;0.0;6708,77;80.57;70.28;1825218564.6;5.92;19765.64;0.0;0.0;17.06;6223.52;13550000.0;4802.5;2177.2244646116665;7000.0;0.06739568781607702;0.07580433817398179;0.00018474600132116132
Arabie saoudite;SAU;31646407.6;29786391.4;94.14;1.85;0.0;4694,5;39.81;68.87;978039275710.2;6.66;30905.22;0.0;0.0;1150000.0;424275.1;1256359000.0;5414.1;2961.1895678063597;1659000.0;0.013406738147428777;0.05242301183025905;0.03633903773646649
Argentine;ARG;45284803.0;42342270.0;93.5;0.39;0.0;11072,25;41.71;35.38;573795401678.6;11.11;12670.82;58.04998701201142;0.0;2287016.0;1860.92;4303000.0;423.0;2312.2971433484513;2193000.0;4.1093697592103916e-05;0.04842684200260295;0.05050294687160282
Arménie;ARM;2897896.0;1864885.0;64.36;0.23;0.0;3434,071;17.06;52.83;19399004590.8;15.55;6694.17;-3.447841457713382;0.0;13800.0;38240.73;58000000.0;6434.4;1516.7074477919223;52000.0;0.013196032569836876;0.017944053202737436;0.0047620756576495496
