Code zone (M49),Zone,Élément,Produit,Année,Unité,Valeur
710,Afrique du Sud,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1612.7
710,Afrique du Sud,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1791.2
710,Afrique du Sud,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1847.9
710,Afrique du Sud,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1914.6
8,Albanie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4711.4
8,Albanie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,5146.6
8,Albanie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4647.1
8,Albanie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,5759.2
12,Algérie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1850.2
12,Algérie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,2467.9
12,Algérie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2328
12,Algérie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2413.5
276,Allemagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1230.1
276,Allemagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1392.1
276,Allemagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1783.5
276,Allemagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1844.1
28,Antigua-et-Barbuda,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4585.8
28,Antigua-et-Barbuda,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4665.6
28,Antigua-et-Barbuda,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4725
28,Antigua-et-Barbuda,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,4802.5
682,Arabie saoudite,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4391.1
682,Arabie saoudite,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4568.9
682,Arabie saoudite,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,5211.9
682,Arabie saoudite,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,5414.1
32,Argentine,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1141.6
32,Argentine,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1060.2
32,Argentine,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,895.7
32,Argentine,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,423
51,Arménie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4621.8
51,Arménie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4546.5
51,Arménie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,6208.2
51,Arménie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,6434.4
36,Australie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1560.5
36,Australie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1701.2
36,Australie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1615.9
36,Australie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1682.1
40,Autriche,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2724.1
40,Autriche,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,2861
40,Autriche,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3028.7
40,Autriche,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2981
31,Azerbaïdjan,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1864.7
31,Azerbaïdjan,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1841.2
31,Azerbaïdjan,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2564.7
