Code zone (M49),Zone,Élément,Produit,Année,Unité,Valeur
4,Afghanistan,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,28512.87
4,Afghanistan,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,28210.69
4,Afghanistan,Production,"Viande, poulet, fraîche ou réfrigérée",2022,tonnes,28503.14
4,Afghanistan,Production,"Viande, poulet, fraîche ou réfrigérée",2023,tonnes,28796.08
710,Afrique du Sud,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,1887000
710,Afrique du Sud,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,1910000
710,Afrique du Sud,Production,"Viande, poulet, fraîche ou réfrigérée",2022,tonnes,1951000
710,Afrique du Sud,Production,"Viande, poulet, fraîche ou réfrigérée",2023,tonnes,1860000
8,Albanie,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,12233.91
8,Albanie,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,13250
8,Albanie,Production,"Viande, poulet, fraîche ou réfrigérée",2022,tonnes,16335.57
8,Albanie,Production,"Viande, poulet, fraîche ou réfrigérée",2023,tonnes,16780
12,Algérie,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,489650
12,Algérie,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,392275
12,Algérie,Production,"Viande, poulet, fraîche ou réfrigérée",2022,tonnes,407744.31
12,Algérie,Production,"Viande, poulet, fraîche ou réfrigérée",2023,tonnes,421271.41
276,Allemagne,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,1066000
276,Allemagne,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,1080000
276,Allemagne,Production,"Viande, poulet, fraîche ou réfrigérée",2022,tonnes,1076000
276,Allemagne,Production,"Viande, poulet, fraîche ou réfrigérée",2023,tonnes,1086000
24,Angola,Production,"Viande, poulet, fraîche ou réfrigérée",2020,tonnes,50955.99
24,Angola,Production,"Viande, poulet, fraîche ou réfrigérée",2021,tonnes,54112.62
