Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.43396186828613
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,58.4905662536621
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,16.0377349853516
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,68.3962249755859
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,89.6226425170898
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,22.6415100097656
Anguilla,AIA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,79.2452850341797
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,70.2830200195312
Argentina,ARG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,35.3773574829102
Armenia,ARM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,52.8301887512207
Aruba,ABW,Regulatory Quality: Percentile Rank,RQ.PER.RNK,80.1886825561523
Australia,AUS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,99.5283050537109
Austria,AUT,Regulatory Quality: Percentile Rank,RQ.PER.RNK,90.0943374633789
Azerbaijan,AZE,Regulatory Quality: Percentile Rank,RQ.PER.RNK,49.0566024780273
"Bahamas, The",BHS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,51.886791229248
Bahrain,BHR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,83.9622650146484
Bangladesh,BGD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,18.8679237365723
Barbados,BRB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,67.4528274536133
Belarus,BLR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,7.54716968536377
Belgium,BEL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,85.8490600585938
Belize,BLZ,Regulatory Quality: Percentile Rank,RQ.PER.RNK,35.8490562438965
Benin,BEN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,40.5660362243652
Bermuda,BMU,Regulatory Quality: Percentile Rank,RQ.PER.RNK,79.2452850341797
Bhutan,BTN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,36.7924537658691
Bolivia,BOL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.7924528121948
Bosnia and Herzegovina,BIH,Regulatory Quality: Percentile Rank,RQ.PER.RNK,46.698112487793
Botswana,BWA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,66.9811325073242
Brazil,BRA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,40.0943412780762
Brunei Darussalam,BRN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,80.6603775024414
Bulgaria,BGR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,65.5660400390625
Burkina Faso,BFA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,34.9056587219238
Burundi,BDI,Regulatory Quality: Percentile Rank,RQ.PER.RNK,15.5660381317139
