Numero Projet;Projet;Lien
2;Rapport Marketing;https://github.com/morganasilhol/portfolio/tree/main/Projet%202%20-%20Rapport%20Marketing
5;Projet Data Immo;https://github.com/morganasilhol/portfolio/tree/main/Projet%205%20-%20Data%20Immo
6;Projet Bottleneck;https://github.com/morganasilhol/portfolio/tree/main/Projet%206%20-%20Projet%20Bottleneck
7;Projet Sanitoral;https://github.com/morganasilhol/portfolio/tree/main/Projet%207%20-%20Projet%20Sanitoral
8;Analyse Egalité Hommes-Femmes;https://github.com/morganasilhol/portfolio/tree/main/Projet%208%20-%20Analyse%20Egalit%C3%A9%20Hommes-Femmes
9;Analyse de ventes;https://github.com/morganasilhol/portfolio/tree/main/Projet%209%20-%20Analyse%20de%20ventes
10;Etude sur l’eau potable;https://github.com/morganasilhol/portfolio/tree/main/Projet%2010%20-%20Etude%20sur%20l'eau
11;Etude de marché;https://github.com/morganasilhol/portfolio/tree/main/Projet%2011%20-%20Etude%20de%20march%C3%A9
12;Projet Détection des faux billets;https://github.com/morganasilhol/portfolio/tree/main/Projet%2012%20-%20Projet%20D%C3%A9tection%20des%20Faux%20Billets
13;Projet Portfolio;https://github.com/morganasilhol/portfolio/tree/main/Projet%2013%20-%20Projet%20Portfolio
